channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig
channel1,9.248449e-07,8.323989e-01,4.064563e-01,1.792452e-07,1.033673e-01,9.178042e-01,5.131125e-01,False,9.178042e-01,False
channel2,1.639878e-06,1.463934e+00,1.452242e-01,6.646058e-07,3.801429e-01,7.043564e-01,2.323587e-01,False,8.049787e-01,False
channel3,1.376295e-06,1.162953e+00,2.466244e-01,1.965359e-07,1.064058e-01,9.153971e-01,3.587264e-01,False,9.178042e-01,False
channel4,1.704366e-06,1.624397e+00,1.063100e-01,6.319754e-07,3.859244e-01,7.000785e-01,1.889955e-01,False,8.049787e-01,False
channel5,2.178436e-06,1.834106e+00,6.854365e-02,1.923907e-06,1.037855e+00,3.009437e-01,1.702713e-01,False,5.350110e-01,False
channel6,2.137565e-06,2.165493e+00,3.186930e-02,1.855937e-06,1.204685e+00,2.301493e-01,1.699696e-01,False,4.772033e-01,False
channel7,2.460278e-06,2.490593e+00,1.380040e-02,9.932701e-07,6.442565e-01,5.203553e-01,1.699696e-01,False,7.568804e-01,False
channel8,1.689297e-06,1.760156e+00,8.034131e-02,2.452734e-06,1.637452e+00,1.035517e-01,1.702713e-01,False,4.306427e-01,False
channel9,2.159265e-06,2.268227e+00,2.468740e-02,1.773113e-06,1.193411e+00,2.345203e-01,1.699696e-01,False,4.772033e-01,False
channel10,1.627264e-06,1.911521e+00,5.777119e-02,1.571801e-06,1.183018e+00,2.386017e-01,1.702713e-01,False,4.772033e-01,False
channel11,1.587039e-06,1.732642e+00,8.513565e-02,7.306973e-07,5.111304e-01,6.099824e-01,1.702713e-01,False,8.049787e-01,False
channel12,1.693776e-06,1.972747e+00,5.029173e-02,2.327105e-06,1.736619e+00,8.442851e-02,1.702713e-01,False,4.306427e-01,False
channel13,3.476619e-07,3.849527e-01,7.007968e-01,2.237205e-06,1.587190e+00,1.144943e-01,7.007968e-01,False,4.306427e-01,False
channel14,7.211043e-07,8.139681e-01,4.169039e-01,2.079679e-06,1.504106e+00,1.345758e-01,5.131125e-01,False,4.306427e-01,False
channel15,5.823725e-07,6.669786e-01,5.057711e-01,2.210714e-06,1.622245e+00,1.067701e-01,5.394892e-01,False,4.306427e-01,False
channel16,-5.512978e-07,-6.793693e-01,4.979107e-01,1.190693e-06,9.401397e-01,3.485994e-01,5.394892e-01,False,5.577590e-01,False
