channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
channel1,77,85,-1.450649e-05,6.924720e-05,1.729412e-06,4.678201e-05,2.988500e+03,3.416343e-01,8.678380e-02,-2.773566e-01,-3.815711e-05,1.463947e-05,-2.606455e+00,1.002377e-02,4.664239e-02,5.654893e-02,False,1.503565e-01,False,1.202852e-01,False,6.563935e-01,False,8.905607e-01,False,8.905607e-01,False,8.360000e-02,False,9.200000e-03,True
channel2,77,85,-1.653247e-05,6.868724e-05,-6.858824e-06,4.535131e-05,3.231000e+03,8.905607e-01,1.268144e-02,-1.678681e-01,-3.647483e-05,1.434382e-05,-2.542895e+00,1.195492e-02,4.403309e-02,5.654893e-02,False,1.673689e-01,False,1.434591e-01,False,8.905607e-01,False,8.905607e-01,False,8.905607e-01,False,9.500000e-02,False,9.200000e-03,True
channel3,77,85,-1.641558e-05,6.404652e-05,3.647059e-06,4.360420e-05,2.793500e+03,1.084753e-01,1.463713e-01,-3.695946e-01,-3.839567e-05,1.364044e-05,-2.814841e+00,5.501506e-03,5.149231e-02,5.654893e-02,False,8.802409e-02,False,7.702108e-02,False,6.563935e-01,False,8.905607e-01,False,8.695910e-01,False,4.940000e-02,True,9.200000e-03,True
channel4,77,85,-1.557143e-05,6.319382e-05,-1.882353e-06,4.152062e-05,2.883500e+03,1.924241e-01,1.188694e-01,-2.586081e-01,-3.152877e-05,1.315035e-05,-2.397562e+00,1.767154e-02,5.686450e-02,5.654893e-02,False,2.120585e-01,False,2.120585e-01,False,6.563935e-01,False,8.905607e-01,False,8.905607e-01,False,1.362000e-01,False,9.200000e-03,True
channel5,77,85,-7.337662e-06,8.313917e-05,3.552941e-06,4.320590e-05,2.941500e+03,2.671141e-01,1.011459e-01,-1.667934e-01,-3.888804e-05,1.618824e-05,-2.402240e+00,1.745523e-02,5.147311e-02,5.654893e-02,False,2.120585e-01,False,2.094627e-01,False,6.563935e-01,False,8.905607e-01,False,8.905607e-01,False,1.348000e-01,False,9.200000e-03,True
channel6,77,85,-6.662338e-06,5.439224e-05,-6.470588e-07,3.795445e-05,2.925000e+03,2.442501e-01,1.061879e-01,-1.293809e-01,-1.560352e-05,1.148664e-05,-1.358406e+00,1.762714e-01,5.546100e-02,3.525427e-01,False,7.915784e-01,False,7.915784e-01,False,6.563935e-01,False,8.905607e-01,False,8.905607e-01,False,7.980000e-01,False,1.000000e+00,False
channel7,77,85,-4.805195e-07,5.456373e-05,5.352941e-06,4.490909e-05,3.028000e+03,4.128455e-01,7.471352e-02,-1.173043e-01,-1.345714e-05,1.245848e-05,-1.080159e+00,2.817172e-01,2.806973e-02,5.008306e-01,False,7.915784e-01,False,7.915784e-01,False,6.563935e-01,False,8.905607e-01,False,8.905607e-01,False,9.442000e-01,False,1.000000e+00,False
channel8,77,85,-4.805195e-06,5.340758e-05,4.882353e-06,3.875976e-05,2.780000e+03,9.862631e-02,1.504966e-01,-2.092390e-01,-1.653857e-05,1.138953e-05,-1.452086e+00,1.484605e-01,6.989789e-02,3.393384e-01,False,7.915784e-01,False,7.915784e-01,False,6.563935e-01,False,8.905607e-01,False,8.695910e-01,False,7.246000e-01,False,1.000000e+00,False
channel9,77,85,6.493506e-07,3.477967e-05,4.352941e-07,4.487110e-05,3.168500e+03,7.283810e-01,3.177998e-02,5.299314e-03,6.821884e-06,1.022343e-05,6.672794e-01,5.055671e-01,4.574021e-03,6.740894e-01,False,7.915784e-01,False,7.915784e-01,False,8.245011e-01,False,8.905607e-01,False,8.905607e-01,False,9.994000e-01,False,1.000000e+00,False
channel10,77,85,-4.701299e-06,5.073358e-05,7.176471e-07,3.898981e-05,3.019500e+03,3.968615e-01,7.731092e-02,-1.205488e-01,-1.139857e-05,1.138420e-05,-1.001262e+00,3.182310e-01,7.004714e-03,5.091696e-01,False,7.915784e-01,False,7.915784e-01,False,6.563935e-01,False,8.905607e-01,False,8.905607e-01,False,9.654000e-01,False,1.000000e+00,False
