channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_dose_beta,int_dose_t,int_dose_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_dose_p_fdr,int_dose_sig
channel1,1.301054e-07,1.506768e-01,8.804556e-01,9.662135e-07,1.011827e+00,3.134306e-01,-1.127216e-06,-9.440171e-01,3.468474e-01,9.570629e-01,False,8.657780e-01,False,8.226705e-01,False
channel2,2.668185e-07,3.027073e-01,7.625788e-01,5.898119e-07,6.050663e-01,5.461507e-01,-3.698302e-08,-3.034107e-02,9.758398e-01,9.570629e-01,False,9.175349e-01,False,9.965009e-01,False
channel3,1.168751e-07,1.293839e-01,8.972464e-01,1.343108e-07,1.344471e-01,8.932492e-01,-3.262668e-07,-2.611878e-01,7.943457e-01,9.570629e-01,False,9.175349e-01,False,9.965009e-01,False
channel4,-8.772920e-07,-1.056562e+00,2.925986e-01,1.491379e-06,1.624132e+00,1.066803e-01,-5.044824e-09,-4.393580e-03,9.965009e-01,7.130037e-01,False,7.179901e-01,False,9.965009e-01,False
channel5,8.050815e-07,8.423811e-01,4.010646e-01,1.407206e-06,1.331402e+00,1.853008e-01,4.456308e-08,3.371829e-02,9.731516e-01,7.130037e-01,False,7.412031e-01,False,9.965009e-01,False
channel6,-5.822942e-07,-8.708245e-01,3.853959e-01,1.734204e-06,2.345151e+00,2.047660e-02,9.302261e-08,1.006001e-01,9.200172e-01,7.130037e-01,False,3.276257e-01,False,9.965009e-01,False
channel7,-1.618794e-07,-2.137876e-01,8.310353e-01,6.586974e-07,7.866098e-01,4.328890e-01,9.619144e-07,9.186476e-01,3.599184e-01,9.570629e-01,False,8.657780e-01,False,8.226705e-01,False
channel8,-7.629455e-07,-1.135759e+00,2.580698e-01,1.118158e-06,1.505144e+00,1.346231e-01,1.082480e-06,1.165290e+00,2.459564e-01,7.130037e-01,False,7.179901e-01,False,7.870606e-01,False
channel9,-5.786205e-07,-9.568983e-01,3.403290e-01,-5.698451e-07,-8.521407e-01,3.956452e-01,1.381050e-06,1.651593e+00,1.009418e-01,7.130037e-01,False,8.657780e-01,False,4.037671e-01,False
channel10,1.557516e-08,2.020728e-02,9.839079e-01,-3.350228e-07,-3.930357e-01,6.949131e-01,7.631333e-07,7.159740e-01,4.752441e-01,9.839079e-01,False,9.175349e-01,False,9.504881e-01,False
channel11,-3.463361e-07,-5.766171e-01,5.651583e-01,-1.323289e-07,-1.992172e-01,8.423926e-01,-1.428802e-07,-1.720217e-01,8.636780e-01,9.042533e-01,False,9.175349e-01,False,9.965009e-01,False
channel12,-3.441117e-07,-4.111021e-01,6.816495e-01,4.781271e-07,5.165069e-01,6.063454e-01,7.379361e-08,6.375154e-02,9.492624e-01,9.570629e-01,False,9.175349e-01,False,9.965009e-01,False
channel13,-9.670295e-07,-1.661674e+00,9.889861e-02,1.373511e-07,2.134130e-01,8.313268e-01,4.894266e-07,6.081565e-01,5.441055e-01,3.955945e-01,False,9.175349e-01,False,9.672987e-01,False
channel14,-1.494324e-06,-2.029909e+00,4.433049e-02,7.838937e-07,9.628781e-01,3.373302e-01,2.035996e-06,2.000001e+00,4.750670e-02,2.364293e-01,False,8.657780e-01,False,2.533690e-01,False
channel15,-1.964446e-06,-3.003756e+00,3.179085e-03,2.424619e-07,3.352358e-01,7.379676e-01,2.077756e-06,2.297422e+00,2.313286e-02,5.086536e-02,False,9.175349e-01,False,1.850629e-01,False
channel16,-1.608133e-06,-2.235176e+00,2.704858e-02,-8.253652e-08,-1.037334e-01,9.175349e-01,2.329458e-06,2.341351e+00,2.067778e-02,2.163887e-01,False,9.175349e-01,False,1.850629e-01,False
