channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig
channel1,1.488991e-07,1.381752e-01,8.902936e-01,-1.558434e-07,-9.385456e-02,9.253543e-01,9.496465e-01,False,9.445691e-01,False
channel2,7.659399e-07,7.454651e-01,4.571973e-01,5.195414e-07,3.281569e-01,7.432664e-01,6.650143e-01,False,9.080495e-01,False
channel3,-1.766774e-08,-1.403713e-02,9.888197e-01,1.050309e-06,5.415556e-01,5.889559e-01,9.888197e-01,False,8.730363e-01,False
channel4,1.280570e-06,1.316177e+00,1.901915e-01,-1.044176e-07,-6.964881e-02,9.445691e-01,3.803830e-01,False,9.445691e-01,False
channel5,1.699558e-06,1.708021e+00,8.977246e-02,8.053397e-07,5.252488e-01,6.002125e-01,2.872719e-01,False,8.730363e-01,False
channel6,2.221904e-06,2.628849e+00,9.490778e-03,1.017205e-06,7.810481e-01,4.360475e-01,9.359299e-02,False,8.700133e-01,False
channel7,2.328631e-06,2.553453e+00,1.169912e-02,3.666154e-07,2.608955e-01,7.945433e-01,9.359299e-02,False,9.080495e-01,False
channel8,1.656837e-06,1.843803e+00,6.725308e-02,1.859597e-06,1.343019e+00,1.813641e-01,2.872719e-01,False,7.421944e-01,False
channel9,1.533237e-06,1.488116e+00,1.388918e-01,1.664245e-06,1.048271e+00,2.962578e-01,3.612510e-01,False,7.900209e-01,False
channel10,1.111234e-06,1.163084e+00,2.467059e-01,1.767246e-06,1.200415e+00,2.319357e-01,4.385883e-01,False,7.421944e-01,False
channel11,1.518087e-06,1.718542e+00,8.783213e-02,4.544966e-07,3.339050e-01,7.389336e-01,2.872719e-01,False,9.080495e-01,False
channel12,1.480506e-06,1.418992e+00,1.580473e-01,2.020502e-06,1.256776e+00,2.108556e-01,3.612510e-01,False,7.421944e-01,False
channel13,-1.772773e-07,-1.837893e-01,8.544355e-01,2.003176e-06,1.347767e+00,1.798352e-01,9.496465e-01,False,7.421944e-01,False
channel14,5.195876e-07,5.849552e-01,5.594870e-01,9.485850e-07,6.930568e-01,4.893825e-01,7.459826e-01,False,8.700133e-01,False
channel15,1.499699e-07,1.687904e-01,8.661967e-01,1.879096e-06,1.372528e+00,1.720183e-01,9.496465e-01,False,7.421944e-01,False
channel16,-9.263377e-07,-1.052480e+00,2.943302e-01,1.146115e-06,8.450866e-01,3.994547e-01,4.709283e-01,False,8.700133e-01,False
