channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig
channel1,1.311360e-06,8.477561e-01,3.979710e-01,-4.878792e-07,-2.046870e-01,8.381037e-01,9.278322e-01,False,9.940838e-01,False
channel2,2.392519e-06,1.519813e+00,1.307356e-01,-5.777180e-07,-2.381658e-01,8.120887e-01,9.278322e-01,False,9.940838e-01,False
channel3,2.744631e-07,1.641487e-01,8.698427e-01,-3.301744e-08,-1.281521e-02,9.897928e-01,9.278322e-01,False,9.940838e-01,False
channel4,2.061592e-06,1.377570e+00,1.704586e-01,-4.607216e-07,-1.997921e-01,8.419231e-01,9.278322e-01,False,9.940838e-01,False
channel5,-3.495802e-07,-2.493819e-01,8.034183e-01,2.892282e-07,1.339021e-01,8.936656e-01,9.278322e-01,False,9.940838e-01,False
channel6,9.099498e-07,7.463382e-01,4.566715e-01,-1.055099e-07,-5.616171e-02,9.552903e-01,9.278322e-01,False,9.940838e-01,False
channel7,-5.914219e-07,-3.874592e-01,6.989844e-01,8.518090e-08,3.621593e-02,9.711600e-01,9.278322e-01,False,9.940838e-01,False
channel8,2.546670e-07,1.998603e-01,8.418699e-01,-4.607028e-07,-2.346407e-01,8.148186e-01,9.278322e-01,False,9.940838e-01,False
channel9,-8.176687e-07,-5.481487e-01,5.844327e-01,7.128536e-07,3.101345e-01,7.569039e-01,9.278322e-01,False,9.940838e-01,False
channel10,3.048661e-07,2.014934e-01,8.405952e-01,3.984848e-07,1.709197e-01,8.645252e-01,9.278322e-01,False,9.940838e-01,False
channel11,4.420786e-07,3.336966e-01,7.390906e-01,5.906602e-08,2.893468e-02,9.769565e-01,9.278322e-01,False,9.940838e-01,False
channel12,8.684452e-07,5.101653e-01,6.107114e-01,5.755116e-07,2.194074e-01,8.266412e-01,9.278322e-01,False,9.940838e-01,False
channel13,-9.080638e-07,-6.690950e-01,5.044988e-01,5.212591e-07,2.492607e-01,8.035119e-01,9.278322e-01,False,9.940838e-01,False
channel14,-4.108825e-07,-2.766153e-01,7.824695e-01,-2.496366e-07,-1.090675e-01,9.132997e-01,9.278322e-01,False,9.940838e-01,False
channel15,8.082092e-09,5.415485e-03,9.956865e-01,1.023220e-07,4.449499e-02,9.645711e-01,9.956865e-01,False,9.940838e-01,False
channel16,-4.253356e-07,-2.630861e-01,7.928577e-01,1.850370e-08,7.427687e-03,9.940838e-01,9.278322e-01,False,9.940838e-01,False
