channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,8.159674e-07,7.206971e-01,4.722028e-01,3.099805e-07,1.780456e-01,8.589242e-01,-1.221892e-06,-6.478975e-01,5.180287e-01,2.419627e-05,1.248469e+00,2.137789e-01,5.286644e-01,False,8.589242e-01,False,7.962924e-01,False,7.943536e-01,False
channel2,1.689038e-06,1.489179e+00,1.385123e-01,6.560998e-07,3.761788e-01,7.073085e-01,1.485068e-06,7.860447e-01,4.330650e-01,2.062032e-05,1.062068e+00,2.898894e-01,2.462441e-01,False,8.083526e-01,False,7.962924e-01,False,7.943536e-01,False
channel3,1.141359e-06,9.464448e-01,3.454239e-01,3.374353e-07,1.819619e-01,8.558551e-01,-2.924027e-06,-1.455619e+00,1.475603e-01,1.545451e-05,7.486477e-01,4.552265e-01,5.024348e-01,False,8.589242e-01,False,7.962924e-01,False,7.943536e-01,False
channel4,1.449429e-06,1.361593e+00,1.753412e-01,6.619783e-07,4.044000e-01,6.864871e-01,-1.641031e-06,-9.254663e-01,3.561904e-01,6.909238e-06,3.791665e-01,7.050934e-01,2.805459e-01,False,8.083526e-01,False,7.962924e-01,False,8.058210e-01,False
channel5,2.387234e-06,1.968107e+00,5.087518e-02,1.941426e-06,1.040858e+00,2.995943e-01,1.480182e-06,7.325918e-01,4.649356e-01,2.486803e-05,1.197690e+00,2.329021e-01,1.400529e-01,False,5.326121e-01,False,7.962924e-01,False,7.943536e-01,False
channel6,1.973848e-06,1.951147e+00,5.287842e-02,1.892664e-06,1.216653e+00,2.256221e-01,-7.538845e-07,-4.473778e-01,6.552392e-01,-9.288897e-06,-5.364012e-01,5.924655e-01,1.400529e-01,False,4.629365e-01,False,7.962924e-01,False,7.943536e-01,False
channel7,2.669889e-06,2.642049e+00,9.102762e-03,1.008308e-06,6.488702e-01,5.174015e-01,8.876598e-07,5.273361e-01,5.987290e-01,1.868542e-05,1.080189e+00,2.817689e-01,1.202174e-01,False,7.525839e-01,False,7.962924e-01,False,7.943536e-01,False
channel8,1.842558e-06,1.876063e+00,6.256401e-02,2.453272e-06,1.624384e+00,1.063658e-01,2.261764e-07,1.382505e-01,8.902254e-01,-6.781357e-07,-4.033593e-02,9.678782e-01,1.400529e-01,False,4.272285e-01,False,8.902254e-01,False,9.678782e-01,False
channel9,2.368408e-06,2.459675e+00,1.502717e-02,1.846020e-06,1.246736e+00,2.144122e-01,-5.983450e-07,-3.730493e-01,7.096315e-01,9.189202e-06,5.575045e-01,5.780029e-01,1.202174e-01,False,4.629365e-01,False,7.962924e-01,False,7.943536e-01,False
channel10,1.663675e-06,1.926885e+00,5.585946e-02,1.595071e-06,1.201391e+00,2.314682e-01,-4.657090e-07,-3.238138e-01,7.465241e-01,-9.924652e-06,-6.715093e-01,5.029154e-01,1.400529e-01,False,4.629365e-01,False,7.962924e-01,False,7.943536e-01,False
channel11,1.824302e-06,1.946522e+00,5.343605e-02,7.347108e-07,5.097954e-01,6.109342e-01,1.391142e-06,8.911021e-01,3.742828e-01,7.396879e-06,4.610632e-01,6.454123e-01,1.400529e-01,False,8.083526e-01,False,7.962924e-01,False,7.943536e-01,False
channel12,1.600935e-06,1.824590e+00,7.002644e-02,2.332119e-06,1.728459e+00,8.593654e-02,-5.590297e-07,-3.824897e-01,7.026325e-01,-1.400979e-05,-9.327655e-01,3.524204e-01,1.400529e-01,False,4.272285e-01,False,7.962924e-01,False,7.943536e-01,False
channel13,2.112182e-07,2.287204e-01,8.193937e-01,2.303808e-06,1.622320e+00,1.068071e-01,-1.961572e-06,-1.275179e+00,2.041916e-01,7.944184e-06,5.025418e-01,6.160138e-01,8.193937e-01,False,4.272285e-01,False,7.962924e-01,False,7.943536e-01,False
channel14,6.208582e-07,6.886941e-01,4.920656e-01,2.063495e-06,1.488518e+00,1.386861e-01,7.055629e-07,4.698541e-01,6.391326e-01,3.263135e-06,2.114552e-01,8.328154e-01,5.286644e-01,False,4.437954e-01,False,7.962924e-01,False,8.883364e-01,False
channel15,6.092313e-07,6.870541e-01,4.930956e-01,2.268821e-06,1.663894e+00,9.819384e-02,5.698047e-07,3.857697e-01,7.002066e-01,2.202333e-05,1.450912e+00,1.488649e-01,5.286644e-01,False,4.272285e-01,False,7.962924e-01,False,7.943536e-01,False
channel16,-5.654905e-07,-6.830375e-01,4.956229e-01,1.216282e-06,9.553674e-01,3.409089e-01,-5.790265e-07,-4.198663e-01,6.751760e-01,1.345667e-05,9.495244e-01,3.438612e-01,5.286644e-01,False,5.454542e-01,False,7.962924e-01,False,7.943536e-01,False
