channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
channel1,77,66,-5.194805e-06,4.142941e-05,-1.363636e-07,3.865583e-05,2.493500e+03,8.489821e-01,1.869343e-02,-1.259114e-01,-5.017037e-06,7.979461e-06,-6.287438e-01,5.305714e-01,1.887970e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,9.628079e-01,False,9.628079e-01,False,9.628079e-01,False,9.998000e-01,False,1.000000e+00,False
channel2,77,66,-6.571429e-06,4.029478e-05,-4.742424e-06,3.309999e-05,2.575500e+03,8.903060e-01,-1.357733e-02,-4.923091e-02,-3.150179e-06,7.239251e-06,-4.351526e-01,6.641415e-01,5.250132e-02,9.226107e-01,False,9.857050e-01,False,9.857050e-01,False,9.628079e-01,False,9.628079e-01,False,9.628079e-01,False,1.000000e+00,False,1.000000e+00,False
channel3,77,66,-8.831169e-06,4.671932e-05,2.590909e-06,4.760962e-05,2.339000e+03,4.142916e-01,7.949626e-02,-2.423432e-01,-1.905077e-05,9.088478e-06,-2.096145e+00,3.792212e-02,8.508140e-02,6.067540e-01,False,6.067540e-01,False,6.067540e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,3.036000e-01,False,3.054000e-01,False
channel4,77,66,-6.597403e-06,3.998693e-05,-2.712121e-06,3.424427e-05,2.374000e+03,4.995245e-01,6.572216e-02,-1.037481e-01,-5.371444e-06,7.329972e-06,-7.328055e-01,4.649382e-01,4.598740e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,9.990000e-01,False,1.000000e+00,False
channel5,77,66,-6.753247e-06,4.595454e-05,-1.833333e-06,3.177303e-05,2.254000e+03,2.441710e-01,1.129477e-01,-1.228570e-01,-7.784486e-06,7.840318e-06,-9.928788e-01,3.225323e-01,4.651542e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,9.794000e-01,False,1.000000e+00,False
channel6,77,66,-5.753247e-06,3.737757e-05,-2.121212e-06,2.829108e-05,2.279500e+03,2.893691e-01,1.029122e-01,-1.084306e-01,-1.896435e-06,6.611904e-06,-2.868213e-01,7.746857e-01,2.997744e-02,9.226107e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,1.000000e+00,False,1.000000e+00,False
channel7,77,66,-4.038961e-06,3.591966e-05,-2.030303e-06,3.051152e-05,2.324000e+03,3.788039e-01,8.539945e-02,-5.989722e-02,-3.925575e-06,6.610181e-06,-5.938680e-01,5.535869e-01,3.072775e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,9.998000e-01,False,1.000000e+00,False
channel8,77,66,-7.233766e-06,3.255154e-05,-4.803030e-06,2.740366e-05,2.219500e+03,1.925417e-01,1.265250e-01,-8.025594e-02,-3.585264e-06,6.029427e-06,-5.946277e-01,5.530804e-01,1.204608e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,9.998000e-01,False,1.000000e+00,False
channel9,77,66,-3.168831e-06,2.847594e-05,-1.727273e-06,3.307546e-05,2.553000e+03,9.628079e-01,-4.722550e-03,-4.698374e-02,4.249967e-07,6.035679e-06,7.041407e-02,9.439675e-01,3.427884e-02,9.857050e-01,False,9.857050e-01,False,9.857050e-01,False,9.628079e-01,False,9.628079e-01,False,9.628079e-01,False,1.000000e+00,False,1.000000e+00,False
channel10,77,66,-5.350649e-06,2.762806e-05,-8.348485e-06,3.398438e-05,2.563500e+03,9.288757e-01,-8.854782e-03,9.757911e-02,1.738334e-06,6.114048e-06,2.843181e-01,7.765991e-01,1.343619e-02,9.226107e-01,False,9.857050e-01,False,9.857050e-01,False,9.628079e-01,False,9.628079e-01,False,9.628079e-01,False,1.000000e+00,False,1.000000e+00,False
channel11,77,66,-2.129870e-06,2.863259e-05,-3.196970e-06,2.571753e-05,2.848000e+03,2.137474e-01,-1.208186e-01,3.904867e-02,-9.710127e-08,5.409538e-06,-1.795001e-02,9.857050e-01,2.193821e-02,9.857050e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,1.000000e+00,False,1.000000e+00,False
channel12,77,66,-1.909091e-06,2.794317e-05,-5.060606e-06,3.963987e-05,2.611000e+03,7.780105e-01,-2.754821e-02,9.312625e-02,5.271301e-06,6.724951e-06,7.838424e-01,4.344956e-01,1.611189e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,9.628079e-01,False,9.628079e-01,False,9.628079e-01,False,9.982000e-01,False,1.000000e+00,False
channel13,77,66,-2.610390e-06,2.769104e-05,1.515152e-06,3.127360e-05,2.365500e+03,4.779725e-01,6.906730e-02,-1.403395e-01,-6.326379e-06,5.851027e-06,-1.081243e+00,2.815028e-01,1.571281e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,9.584000e-01,False,1.000000e+00,False
channel14,77,66,2.337662e-06,3.329004e-05,3.151515e-06,3.187198e-05,2.444500e+03,6.971434e-01,3.797717e-02,-2.493118e-02,-1.572224e-06,6.432823e-06,-2.444065e-01,8.072844e-01,3.051852e-02,9.226107e-01,False,9.857050e-01,False,9.857050e-01,False,9.628079e-01,False,9.628079e-01,False,9.628079e-01,False,1.000000e+00,False,1.000000e+00,False
channel15,77,66,-1.181818e-06,2.769369e-05,3.090909e-06,2.727452e-05,2.432500e+03,6.615675e-01,4.269972e-02,-1.553649e-01,-5.482676e-06,5.348311e-06,-1.025123e+00,3.071252e-01,6.134769e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,9.628079e-01,False,9.628079e-01,False,9.628079e-01,False,9.730000e-01,False,1.000000e+00,False
channel16,77,66,1.298701e-07,2.656539e-05,4.424242e-06,3.033559e-05,2.276500e+03,2.845107e-01,1.040929e-01,-1.513929e-01,-7.836540e-06,5.582644e-06,-1.403733e+00,1.626777e-01,3.838761e-02,8.857390e-01,False,9.857050e-01,False,9.857050e-01,False,8.880436e-01,False,9.628079e-01,False,9.628079e-01,False,8.042000e-01,False,1.000000e+00,False
