channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
channel1,77,66,-1.450649e-05,6.924720e-05,-4.515152e-06,5.408888e-05,2.550500e+03,9.709171e-01,-3.738686e-03,-1.593105e-01,-1.660033e-05,1.219169e-05,-1.361611e+00,1.755722e-01,6.241685e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,8.272000e-01,False,1.000000e+00,False
channel2,77,66,-1.653247e-05,6.868724e-05,-1.604545e-05,5.801656e-05,2.605500e+03,7.952969e-01,-2.538371e-02,-7.610817e-03,-8.561336e-06,1.227823e-05,-6.972774e-01,4.868195e-01,8.069992e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,9.990000e-01,False,1.000000e+00,False
channel3,77,66,-1.641558e-05,6.404652e-05,-4.318182e-06,6.482643e-05,2.347000e+03,4.329433e-01,7.634789e-02,-1.878268e-01,-1.842523e-05,1.264698e-05,-1.456888e+00,1.474524e-01,4.573235e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,7.586000e-01,False,1.000000e+00,False
channel4,77,66,-1.557143e-05,6.319382e-05,-1.092424e-05,5.778190e-05,2.389000e+03,5.390574e-01,5.981897e-02,-7.648571e-02,-1.096087e-05,1.172584e-05,-9.347620e-01,3.515677e-01,7.137810e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,9.860000e-01,False,1.000000e+00,False
channel5,77,66,-7.337662e-06,8.313917e-05,-1.030303e-06,4.692809e-05,2.370000e+03,4.882723e-01,6.729634e-02,-9.160456e-02,-5.490352e-06,1.343424e-05,-4.086834e-01,6.834148e-01,5.145452e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,1.000000e+00,False,1.000000e+00,False
channel6,77,66,-6.662338e-06,5.439224e-05,-7.272727e-07,4.091738e-05,2.204500e+03,1.727139e-01,1.324282e-01,-1.220042e-01,-1.825422e-06,9.545069e-06,-1.912424e-01,8.486209e-01,4.227420e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,1.000000e+00,False,1.000000e+00,False
channel7,77,66,-4.805195e-07,5.456373e-05,-3.939394e-07,5.361655e-05,2.556500e+03,9.514165e-01,-6.099961e-03,-1.599510e-03,9.084819e-07,1.071245e-05,8.480621e-02,9.325402e-01,2.203121e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,1.000000e+00,False,1.000000e+00,False
channel8,77,66,-4.805195e-06,5.340758e-05,-2.969697e-06,4.378021e-05,2.326500e+03,3.851538e-01,8.441558e-02,-3.730382e-02,-2.343390e-06,9.608573e-06,-2.438853e-01,8.076872e-01,4.813652e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,1.000000e+00,False,1.000000e+00,False
channel9,77,66,6.493506e-07,3.477967e-05,-1.045455e-06,5.131994e-05,2.427000e+03,6.452450e-01,4.486423e-02,3.923275e-02,3.557511e-06,8.595194e-06,4.138954e-01,6.796027e-01,1.187639e-02,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,1.000000e+00,False,1.000000e+00,False
channel10,77,66,-4.701299e-06,5.073358e-05,-8.530303e-06,5.841792e-05,2.505500e+03,8.871336e-01,1.397088e-02,7.037188e-02,1.721619e-06,1.085578e-05,1.585900e-01,8.742271e-01,7.301227e-03,9.627681e-01,False,9.627681e-01,False,9.627681e-01,False,9.709171e-01,False,9.709171e-01,False,9.709171e-01,False,1.000000e+00,False,1.000000e+00,False
