channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_dose_beta,int_dose_t,int_dose_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig,int_dose_p_fdr,int_dose_sig
channel1,4.340080e-07,5.013504e-01,6.169660e-01,1.110791e-06,1.152832e+00,2.510786e-01,5.453351e-06,1.823348e+00,7.053055e-02,4.619472e-05,1.956558e+00,5.252671e-02,-1.454676e-06,-1.180067e+00,2.401119e-01,8.226214e-01,False,8.034515e-01,False,8.315034e-01,False,8.404273e-01,False,6.036469e-01,False
channel2,3.448359e-07,3.844258e-01,7.012862e-01,5.101244e-07,5.109356e-01,6.102562e-01,1.272177e-06,4.104972e-01,6.821119e-01,1.818183e-05,7.431808e-01,4.587029e-01,-1.804545e-07,-1.412748e-01,8.878699e-01,8.631215e-01,False,8.890575e-01,False,8.315034e-01,False,9.138354e-01,False,9.819840e-01,False
channel3,1.798091e-07,1.943652e-01,8.461910e-01,7.185904e-08,6.978757e-02,9.444692e-01,1.744398e-06,5.457765e-01,5.861478e-01,1.420424e-05,5.629651e-01,5.744209e-01,-4.463465e-07,-3.388252e-01,7.352839e-01,9.026038e-01,False,9.468281e-01,False,8.315034e-01,False,9.138354e-01,False,9.819840e-01,False
channel4,-8.658274e-07,-1.018949e+00,3.101051e-01,1.374831e-06,1.453652e+00,1.484342e-01,6.258939e-07,2.131987e-01,8.315034e-01,9.944188e-06,4.290891e-01,6.685632e-01,-1.307490e-07,-1.080579e-01,9.141151e-01,6.517009e-01,False,7.916493e-01,False,8.315034e-01,False,9.138354e-01,False,9.819840e-01,False
channel5,8.814625e-07,9.060332e-01,3.665818e-01,1.305239e-06,1.205369e+00,2.302335e-01,3.164706e-06,9.415341e-01,3.481642e-01,1.757123e-05,6.622155e-01,5.089964e-01,-1.088720e-07,-7.858749e-02,9.374807e-01,6.517009e-01,False,8.034515e-01,False,8.315034e-01,False,9.138354e-01,False,9.819840e-01,False
channel6,-6.738398e-07,-9.824454e-01,3.276914e-01,1.626788e-06,2.130947e+00,3.496166e-02,-6.899865e-07,-2.911755e-01,7.713777e-01,-4.066383e-06,-2.173786e-01,8.282515e-01,-2.209716e-08,-2.262481e-02,9.819840e-01,6.517009e-01,False,5.593865e-01,False,8.315034e-01,False,9.138354e-01,False,9.819840e-01,False
channel7,-1.891708e-07,-2.425268e-01,8.087513e-01,6.344962e-07,7.308439e-01,4.661797e-01,-7.611371e-07,-2.824431e-01,7.780495e-01,-4.362462e-06,-2.050662e-01,8.378387e-01,1.011479e-06,9.106662e-01,3.641439e-01,9.026038e-01,False,8.890575e-01,False,8.315034e-01,False,9.138354e-01,False,6.873814e-01,False
channel8,-8.177115e-07,-1.186944e+00,2.373976e-01,1.120552e-06,1.461343e+00,1.463159e-01,-8.824486e-07,-3.707508e-01,7.114220e-01,-1.634838e-05,-8.700854e-01,3.858452e-01,1.317577e-06,1.343083e+00,1.815673e-01,6.517009e-01,False,7.916493e-01,False,8.315034e-01,False,9.138354e-01,False,5.810154e-01,False
channel9,-6.129751e-07,-9.868914e-01,3.255152e-01,-5.953202e-07,-8.611268e-01,3.907416e-01,-1.598299e-06,-7.448124e-01,4.577192e-01,2.709112e-06,1.599228e-01,8.731882e-01,1.246009e-06,1.408784e+00,1.612681e-01,6.517009e-01,False,8.890575e-01,False,8.315034e-01,False,9.138354e-01,False,5.810154e-01,False
channel10,-6.180397e-08,-7.852085e-02,9.375336e-01,-3.165461e-07,-3.613230e-01,7.184401e-01,1.274707e-06,4.687503e-01,6.400273e-01,-3.205031e-05,-1.492993e+00,1.378437e-01,1.257078e-06,1.121574e+00,2.640955e-01,9.375336e-01,False,8.890575e-01,False,8.315034e-01,False,9.138354e-01,False,6.036469e-01,False
channel11,-4.017380e-07,-6.496279e-01,5.170701e-01,-1.945220e-07,-2.826054e-01,7.779253e-01,-1.112152e-06,-5.205333e-01,6.035706e-01,-4.633172e-06,-2.746990e-01,7.839802e-01,-1.462929e-07,-1.661277e-01,8.683126e-01,7.954893e-01,False,8.890575e-01,False,8.315034e-01,False,9.138354e-01,False,9.819840e-01,False
channel12,-5.184068e-07,-6.039838e-01,5.468989e-01,3.191995e-07,3.341233e-01,7.388208e-01,-1.545556e-06,-5.211970e-01,6.031095e-01,-1.929290e-05,-8.241553e-01,4.113493e-01,1.118347e-07,9.150150e-02,9.272339e-01,7.954893e-01,False,8.890575e-01,False,8.315034e-01,False,9.138354e-01,False,9.819840e-01,False
