channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
channel1,66,85,-1.363636e-07,3.865583e-05,-4.352941e-07,3.086200e-05,2.680500e+03,6.417435e-01,4.438503e-02,8.669849e-03,5.878633e-06,8.343057e-06,7.046139e-01,4.821808e-01,1.917631e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,9.988000e-01,False,1.000000e+00,False
channel2,66,85,-4.742424e-06,3.309999e-05,6.117647e-07,3.290900e-05,2.591000e+03,4.228047e-01,7.629234e-02,-1.622853e-01,-6.038496e-07,7.992078e-06,-7.555601e-02,9.398765e-01,2.340715e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel3,66,85,2.590909e-06,4.760962e-05,2.423529e-06,3.387490e-05,2.704500e+03,7.074875e-01,3.582888e-02,4.138530e-03,3.707913e-06,9.695605e-06,3.824324e-01,7.027006e-01,3.727858e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel4,66,85,-2.712121e-06,3.424427e-05,-2.235294e-06,2.883147e-05,2.888500e+03,7.553779e-01,-2.976827e-02,-1.523018e-02,-7.765366e-07,7.534723e-06,-1.030611e-01,9.180569e-01,2.979468e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel5,66,85,-1.833333e-06,3.177303e-05,1.988235e-06,3.248864e-05,2.822000e+03,9.505882e-01,-6.060606e-03,-1.187618e-01,-1.461376e-06,7.852225e-06,-1.861098e-01,8.526188e-01,5.974877e-03,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,9.505882e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel6,66,85,-2.121212e-06,2.829108e-05,2.047059e-06,2.742214e-05,2.530500e+03,3.033877e-01,9.786096e-02,-1.499133e-01,-1.683298e-06,6.720801e-06,-2.504610e-01,8.025854e-01,2.669384e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel7,66,85,-2.030303e-06,3.051152e-05,2.188235e-06,2.929346e-05,2.709000e+03,7.197632e-01,3.422460e-02,-1.414148e-01,-1.816706e-06,7.258467e-06,-2.502878e-01,8.027190e-01,1.312635e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel8,66,85,-4.803030e-06,2.740366e-05,-4.705882e-07,3.059746e-05,2.622000e+03,4.931098e-01,6.524064e-02,-1.481323e-01,-4.362353e-06,7.112654e-06,-6.133228e-01,5.406238e-01,1.464262e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel9,66,85,-1.727273e-06,3.307546e-05,1.211765e-06,3.372441e-05,2.675000e+03,6.268953e-01,4.634581e-02,-8.788237e-02,5.702844e-06,8.065079e-06,7.071034e-01,4.806371e-01,2.760907e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,9.988000e-01,False,1.000000e+00,False
channel10,66,85,-8.348485e-06,3.398438e-05,2.082353e-06,2.823971e-05,2.353000e+03,9.012452e-02,1.611408e-01,-3.378138e-01,-9.041041e-06,7.480263e-06,-1.208653e+00,2.287635e-01,4.405975e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.139024e-01,False,9.505882e-01,False,9.232397e-01,False,8.936000e-01,False,1.000000e+00,False
channel11,66,85,-3.196970e-06,2.571753e-05,4.070588e-06,3.076438e-05,2.368500e+03,1.017378e-01,1.556150e-01,-2.534707e-01,-4.420977e-06,6.923661e-06,-6.385317e-01,5.241349e-01,3.857831e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.139024e-01,False,9.505882e-01,False,9.442224e-01,False,9.998000e-01,False,1.000000e+00,False
channel12,66,85,-5.060606e-06,3.963987e-05,1.094118e-06,2.848334e-05,2.636500e+03,5.283300e-01,6.007130e-02,-1.820596e-01,-3.384503e-06,8.245981e-06,-4.104427e-01,6.820870e-01,1.147891e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel13,66,85,1.515152e-06,3.127360e-05,2.470588e-07,3.100956e-05,3.013000e+03,4.361200e-01,-7.415330e-02,4.074190e-02,5.808085e-06,7.572573e-06,7.669897e-01,4.443346e-01,8.817161e-03,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,9.964000e-01,False,1.000000e+00,False
channel14,66,85,3.151515e-06,3.187198e-05,9.764706e-07,2.572380e-05,2.991500e+03,4.851040e-01,-6.648841e-02,7.613289e-02,1.881790e-06,6.951574e-06,2.706998e-01,7.870069e-01,9.593724e-03,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel15,66,85,3.090909e-06,2.727452e-05,1.211765e-06,2.983969e-05,2.831500e+03,9.222793e-01,-9.447415e-03,6.536424e-02,2.965541e-06,6.940652e-06,4.272713e-01,6.698156e-01,2.464166e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,9.505882e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
channel16,66,85,4.424242e-06,3.033559e-05,-1.141176e-06,2.678759e-05,3.084000e+03,2.958317e-01,-9.946524e-02,1.960348e-01,1.293901e-06,6.915583e-06,1.870993e-01,8.518443e-01,1.541646e-02,9.398765e-01,False,9.398765e-01,False,9.398765e-01,False,8.632890e-01,False,9.505882e-01,False,9.505882e-01,False,1.000000e+00,False,1.000000e+00,False
