channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,-4.022467e-08,-3.658101e-02,9.708708e-01,-3.908557e-08,-2.340082e-02,9.813636e-01,-1.824460e-06,-1.027647e+00,3.058756e-01,3.609482e-06,1.907350e-01,8.490076e-01,9.708708e-01,False,9.813636e-01,False,8.221023e-01,False,9.968988e-01,False
channel2,8.295476e-07,7.873225e-01,4.324145e-01,7.130110e-07,4.455115e-01,6.566334e-01,1.111019e-06,6.530991e-01,5.147559e-01,4.845474e-06,2.672205e-01,7.896898e-01,6.289666e-01,False,8.562358e-01,False,8.236095e-01,False,9.968988e-01,False
channel3,-1.568373e-07,-1.228229e-01,9.024223e-01,1.360207e-06,7.012718e-01,4.842892e-01,-3.813299e-07,-1.849597e-01,8.535264e-01,2.010605e-05,9.149111e-01,3.618003e-01,9.625838e-01,False,8.066030e-01,False,9.541816e-01,False,9.968988e-01,False
channel4,1.035194e-06,1.045838e+00,2.974252e-01,4.553960e-08,3.028889e-02,9.758795e-01,-1.257796e-06,-7.870447e-01,4.325766e-01,-2.980537e-06,-1.749684e-01,8.613555e-01,4.758803e-01,False,9.813636e-01,False,8.221023e-01,False,9.968988e-01,False
channel5,1.879451e-06,1.836459e+00,6.839588e-02,9.208836e-07,5.923880e-01,5.545396e-01,1.443083e-06,8.733490e-01,3.839578e-01,1.442304e-05,8.188970e-01,4.142271e-01,2.188668e-01,False,8.066030e-01,False,8.221023e-01,False,9.968988e-01,False
channel6,2.183088e-06,2.515993e+00,1.299053e-02,1.145483e-06,8.691169e-01,3.862602e-01,1.860354e-07,1.327945e-01,8.945452e-01,5.814425e-08,3.893743e-03,9.968988e-01,1.039242e-01,False,7.978990e-01,False,9.541816e-01,False,9.968988e-01,False
channel7,2.603968e-06,2.803908e+00,5.761003e-03,5.528971e-07,3.919437e-01,6.956916e-01,2.635074e-06,1.757386e+00,8.102236e-02,1.315647e-05,8.231703e-01,4.118012e-01,9.217605e-02,False,8.562358e-01,False,6.564775e-01,False,9.968988e-01,False
channel8,1.904586e-06,2.077172e+00,3.960008e-02,1.929965e-06,1.385711e+00,1.680230e-01,2.196346e-06,1.483607e+00,1.401451e-01,1.280106e-05,8.112223e-01,4.186053e-01,2.112004e-01,False,7.881723e-01,False,6.564775e-01,False,9.968988e-01,False
channel9,1.750904e-06,1.663505e+00,9.843253e-02,1.674184e-06,1.047168e+00,2.968140e-01,1.252208e-06,7.368588e-01,4.624325e-01,1.294577e-06,7.146799e-02,9.431266e-01,2.624867e-01,False,7.915040e-01,False,8.221023e-01,False,9.968988e-01,False
channel10,1.200398e-06,1.226965e+00,2.218806e-01,1.730111e-06,1.164213e+00,2.463038e-01,4.663024e-07,2.952031e-01,7.682730e-01,1.469230e-05,8.726076e-01,3.843605e-01,4.437611e-01,False,7.881723e-01,False,9.541816e-01,False,9.968988e-01,False
channel11,1.723828e-06,1.907162e+00,5.853339e-02,4.024809e-07,2.931503e-01,7.698383e-01,1.104583e-06,7.568999e-01,4.503728e-01,5.026814e-06,3.231534e-01,7.470578e-01,2.188668e-01,False,8.798152e-01,False,8.221023e-01,False,9.968988e-01,False
channel12,1.444682e-06,1.340387e+00,1.822753e-01,1.999075e-06,1.221065e+00,2.240995e-01,-2.456169e-07,-1.411440e-01,8.879576e-01,-4.904082e-06,-2.643858e-01,7.918688e-01,4.166292e-01,False,7.881723e-01,False,9.541816e-01,False,9.968988e-01,False
channel13,-4.162070e-07,-4.210158e-01,6.743846e-01,1.965022e-06,1.308602e+00,1.927981e-01,-2.280174e-06,-1.428576e+00,1.553376e-01,-1.740621e-06,-1.023094e-01,9.186565e-01,8.991795e-01,False,7.881723e-01,False,6.564775e-01,False,9.968988e-01,False
channel14,3.044694e-07,3.342037e-01,7.387224e-01,8.611078e-07,6.222667e-01,5.347715e-01,-2.057260e-06,-1.398631e+00,1.641194e-01,-4.598967e-06,-2.933258e-01,7.697044e-01,9.091968e-01,False,8.066030e-01,False,6.564775e-01,False,9.968988e-01,False
channel15,1.458580e-07,1.600092e-01,8.731028e-01,2.016103e-06,1.456058e+00,1.475997e-01,-1.560285e-08,-1.060144e-02,9.915564e-01,3.562427e-06,2.270820e-01,8.206889e-01,9.625838e-01,False,7.881723e-01,False,9.915564e-01,False,9.968988e-01,False
channel16,-1.014120e-06,-1.116627e+00,2.660530e-01,1.167170e-06,8.460660e-01,3.989495e-01,-7.741282e-07,-5.279318e-01,5.983765e-01,3.158518e-06,2.020804e-01,8.401451e-01,4.729832e-01,False,7.978990e-01,False,8.703658e-01,False,9.968988e-01,False
