channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,8.852383e-07,5.624080e-01,5.747311e-01,-5.993003e-07,-2.506612e-01,8.024409e-01,-4.376001e-06,-1.721928e+00,8.727549e-02,-7.784608e-06,-2.873758e-01,7.742465e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel2,2.361092e-06,1.456565e+00,1.474598e-01,-3.934618e-07,-1.597978e-01,8.732690e-01,-5.538048e-08,-2.116020e-02,9.831478e-01,1.778420e-05,6.374899e-01,5.248396e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel3,3.474338e-08,2.019957e-02,9.839127e-01,1.180256e-07,4.517493e-02,9.640318e-01,-1.793236e-06,-6.457339e-01,5.195012e-01,1.126201e-05,3.804593e-01,7.041771e-01,9.839127e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel4,1.853591e-06,1.206325e+00,2.297125e-01,-3.092505e-07,-1.324988e-01,8.947787e-01,-9.687501e-07,-3.904886e-01,6.967646e-01,2.543778e-06,9.619482e-02,9.235024e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel5,-4.343177e-07,-3.013047e-01,7.636260e-01,4.974614e-07,2.272004e-01,8.205970e-01,-6.332240e-07,-2.720834e-01,7.859559e-01,1.476326e-05,5.951176e-01,5.527187e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel6,7.650974e-07,6.113898e-01,5.419260e-01,4.587106e-08,2.413191e-02,9.807815e-01,-7.423302e-07,-3.674049e-01,7.138679e-01,-4.140733e-06,-1.922653e-01,8.478110e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel7,-6.782127e-07,-4.308850e-01,6.672099e-01,2.147663e-07,8.982827e-02,9.285512e-01,-3.964244e-07,-1.559920e-01,8.762625e-01,6.533393e-06,2.411885e-01,8.097594e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel8,4.147774e-07,3.183531e-01,7.506882e-01,-2.398161e-07,-1.211780e-01,9.037226e-01,7.944626e-07,3.776711e-01,7.062429e-01,3.824502e-05,1.705655e+00,9.027429e-02,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel9,-7.238228e-07,-4.709170e-01,6.384277e-01,7.404541e-07,3.171478e-01,7.516006e-01,1.129661e-06,4.552045e-01,6.496623e-01,-1.372189e-05,-5.187383e-01,6.047564e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel10,5.066250e-07,3.268455e-01,7.442695e-01,3.749589e-07,1.592542e-01,8.736965e-01,1.091486e-06,4.361345e-01,6.634062e-01,2.721579e-05,1.020232e+00,3.093656e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel11,5.666430e-07,4.147129e-01,6.789824e-01,9.157852e-08,4.412482e-02,9.648673e-01,1.166846e-06,5.289294e-01,5.976861e-01,6.328714e-06,2.691384e-01,7.882166e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel12,1.011612e-06,5.764162e-01,5.652529e-01,6.268530e-07,2.351469e-01,8.144359e-01,1.755249e-06,6.194512e-01,5.366188e-01,-2.183391e-06,-7.228961e-02,9.424739e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel13,-1.140579e-06,-8.185052e-01,4.144499e-01,5.863242e-07,2.770035e-01,7.821831e-01,-2.357211e-06,-1.047709e+00,2.965651e-01,1.628225e-05,6.789418e-01,4.982876e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel14,-4.157836e-07,-2.709929e-01,7.867928e-01,-2.086903e-07,-8.954558e-02,9.287754e-01,2.162355e-07,8.728987e-02,9.305650e-01,-3.863852e-06,-1.463300e-01,8.838699e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel15,-5.051573e-08,-3.289417e-02,9.738055e-01,2.589077e-07,1.109912e-01,9.117812e-01,-5.603009e-07,-2.259747e-01,8.215483e-01,5.009079e-06,1.895275e-01,8.499519e-01,9.839127e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
channel16,-3.906134e-07,-2.339587e-01,8.153564e-01,9.053235e-08,3.569827e-02,9.715734e-01,4.756893e-07,1.764663e-01,8.601809e-01,5.951326e-06,2.071228e-01,8.362128e-01,9.318359e-01,False,9.807815e-01,False,9.831478e-01,False,9.424739e-01,False
