channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
channel1,77,85,-5.194805e-06,4.142941e-05,-4.352941e-07,3.086200e-05,3.132000e+03,6.386364e-01,4.293354e-02,-1.312335e-01,-2.080197e-06,8.669899e-06,-2.399332e-01,8.106930e-01,1.129675e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.261491e-01,False,9.959844e-01,False,9.959844e-01,False,1.000000e+00,False,1.000000e+00,False
channel2,77,85,-6.571429e-06,4.029478e-05,6.117647e-07,3.290900e-05,3.069000e+03,4.956337e-01,6.218487e-02,-1.962431e-01,-7.930345e-06,8.686431e-06,-9.129578e-01,3.626557e-01,3.084946e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.261491e-01,False,9.959844e-01,False,9.959844e-01,False,9.844000e-01,False,1.000000e+00,False
channel3,77,85,-8.831169e-06,4.671932e-05,2.423529e-06,3.387490e-05,2.920000e+03,2.377008e-01,1.077158e-01,-2.779809e-01,-8.142767e-06,9.704835e-06,-8.390423e-01,4.027132e-01,2.072755e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,7.145301e-01,False,9.959844e-01,False,9.959844e-01,False,9.910000e-01,False,1.000000e+00,False
channel4,77,85,-6.597403e-06,3.998693e-05,-2.235294e-06,2.883147e-05,3.176500e+03,7.486119e-01,2.933537e-02,-1.261383e-01,-2.792717e-06,8.200552e-06,-3.405523e-01,7.338930e-01,2.679710e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.261491e-01,False,9.959844e-01,False,9.959844e-01,False,1.000000e+00,False,1.000000e+00,False
channel5,77,85,-6.753247e-06,4.595454e-05,1.988235e-06,3.248864e-05,2.942000e+03,2.679488e-01,1.009931e-01,-2.215158e-01,-1.198999e-05,9.442081e-06,-1.269846e+00,2.060064e-01,1.738280e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,7.145301e-01,False,9.959844e-01,False,9.959844e-01,False,8.638000e-01,False,1.000000e+00,False
channel6,77,85,-5.753247e-06,3.737757e-05,2.047059e-06,2.742214e-05,2.652000e+03,3.746478e-02,1.896104e-01,-2.397654e-01,-5.554913e-07,7.766544e-06,-7.152362e-02,9.430715e-01,2.387812e-02,9.430715e-01,False,9.430715e-01,False,9.430715e-01,False,3.948647e-01,False,5.994365e-01,False,5.619717e-01,False,1.000000e+00,False,1.000000e+00,False
channel7,77,85,-4.038961e-06,3.591966e-05,2.188235e-06,2.929346e-05,2.886500e+03,1.956431e-01,1.179526e-01,-1.909642e-01,-1.055220e-05,7.807160e-06,-1.351606e+00,1.784334e-01,1.308026e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,7.145301e-01,False,9.959844e-01,False,9.959844e-01,False,8.142000e-01,False,1.000000e+00,False
channel8,77,85,-7.233766e-06,3.255154e-05,-4.705882e-07,3.059746e-05,2.686500e+03,4.935809e-02,1.790680e-01,-2.144267e-01,-8.376326e-06,7.531079e-06,-1.112235e+00,2.677268e-01,2.070198e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,3.948647e-01,False,7.403713e-01,False,6.910133e-01,False,9.350000e-01,False,1.000000e+00,False
channel9,77,85,-3.168831e-06,2.847594e-05,1.211765e-06,3.372441e-05,3.144500e+03,6.687352e-01,3.911383e-02,-1.397713e-01,-6.781850e-06,7.411493e-06,-9.150450e-01,3.615624e-01,3.305567e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.261491e-01,False,9.959844e-01,False,9.959844e-01,False,9.840000e-01,False,1.000000e+00,False
channel10,77,85,-5.350649e-06,2.762806e-05,2.082353e-06,2.823971e-05,2.757000e+03,8.396862e-02,1.575248e-01,-2.659312e-01,-4.292352e-06,6.612767e-06,-6.491007e-01,5.172157e-01,4.446354e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,4.478327e-01,False,9.959844e-01,False,9.850295e-01,False,9.996000e-01,False,1.000000e+00,False
channel11,77,85,-2.129870e-06,2.863259e-05,4.070588e-06,3.076438e-05,3.086000e+03,5.325176e-01,5.699007e-02,-2.082730e-01,-7.277808e-06,7.119027e-06,-1.022304e+00,3.081999e-01,1.715259e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.261491e-01,False,9.959844e-01,False,9.959844e-01,False,9.588000e-01,False,1.000000e+00,False
channel12,77,85,-1.909091e-06,2.794317e-05,1.094118e-06,2.848334e-05,3.127500e+03,6.277532e-01,4.430863e-02,-1.063909e-01,2.180346e-06,6.736368e-06,3.236678e-01,7.466176e-01,1.324799e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.261491e-01,False,9.959844e-01,False,9.959844e-01,False,1.000000e+00,False,1.000000e+00,False
channel13,77,85,-2.610390e-06,2.769104e-05,2.470588e-07,3.100956e-05,3.274500e+03,9.959844e-01,-6.111536e-04,-9.692877e-02,-3.639537e-06,7.067641e-06,-5.149578e-01,6.073022e-01,3.617642e-03,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.959844e-01,False,9.959844e-01,False,9.959844e-01,False,9.998000e-01,False,1.000000e+00,False
channel14,77,85,2.337662e-06,3.329004e-05,9.764706e-07,2.572380e-05,3.340500e+03,8.208579e-01,-2.077922e-02,4.604807e-02,4.840898e-06,7.008563e-06,6.907119e-01,4.907601e-01,2.373580e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.381233e-01,False,9.959844e-01,False,9.959844e-01,False,9.982000e-01,False,1.000000e+00,False
channel15,77,85,-1.181818e-06,2.769369e-05,1.211765e-06,2.983969e-05,3.178000e+03,7.524961e-01,2.887701e-02,-8.299451e-02,-1.755506e-06,6.881503e-06,-2.551050e-01,7.989738e-01,1.242229e-02,8.647392e-01,False,9.430715e-01,False,9.430715e-01,False,9.261491e-01,False,9.959844e-01,False,9.959844e-01,False,1.000000e+00,False,1.000000e+00,False
