channel,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,-1.228692e-06,-6.550137e-01,5.134236e-01,2.092977e-05,1.081572e+00,2.811119e-01,7.834310e-01,False,8.228668e-01,False
channel2,1.271912e-06,6.752098e-01,5.005421e-01,1.607728e-05,8.273277e-01,4.093151e-01,7.834310e-01,False,8.228668e-01,False
channel3,-3.108539e-06,-1.483999e+00,1.398268e-01,8.882904e-06,4.110699e-01,6.815854e-01,7.834310e-01,False,9.177417e-01,False
channel4,-1.740603e-06,-9.787594e-01,3.292143e-01,3.232148e-06,1.761777e-01,8.603828e-01,7.834310e-01,False,9.177417e-01,False
channel5,1.239106e-06,6.053690e-01,5.458135e-01,1.990171e-05,9.425090e-01,3.473894e-01,7.834310e-01,False,8.228668e-01,False
channel6,-1.070917e-06,-6.354275e-01,5.260806e-01,-1.243439e-05,-7.151843e-01,4.755642e-01,7.834310e-01,False,8.454474e-01,False
channel7,4.216755e-07,2.488146e-01,8.038314e-01,1.460536e-05,8.353976e-01,4.047715e-01,8.891431e-01,False,8.228668e-01,False
channel8,-4.848277e-08,-2.959360e-02,9.764290e-01,-4.148779e-06,-2.454789e-01,8.064083e-01,9.764290e-01,False,9.177417e-01,False
channel9,-1.023511e-06,-6.357215e-01,5.258895e-01,4.072774e-06,2.452157e-01,8.066117e-01,7.834310e-01,False,9.177417e-01,False
channel10,-7.810557e-07,-5.447405e-01,5.867099e-01,-1.389686e-05,-9.395236e-01,3.489145e-01,7.834310e-01,False,8.228668e-01,False
channel11,1.020724e-06,6.599745e-01,5.102434e-01,4.090992e-06,2.564076e-01,7.979740e-01,7.834310e-01,False,9.177417e-01,False
channel12,-8.157220e-07,-5.593718e-01,5.767102e-01,-1.776151e-05,-1.180652e+00,2.395382e-01,7.834310e-01,False,8.228668e-01,False
channel13,-1.869056e-06,-1.222012e+00,2.235463e-01,5.054742e-06,3.203581e-01,7.491256e-01,7.834310e-01,False,9.177417e-01,False
channel14,8.279805e-07,5.434827e-01,5.875733e-01,7.079585e-07,4.504607e-02,9.641282e-01,7.834310e-01,False,9.641282e-01,False
channel15,6.208261e-07,4.165547e-01,6.775767e-01,1.789620e-05,1.163982e+00,2.462083e-01,8.339406e-01,False,8.228668e-01,False
channel16,-2.914029e-07,-2.104749e-01,8.335717e-01,1.176299e-05,8.235838e-01,4.114334e-01,8.891431e-01,False,8.228668e-01,False
