channel,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,1.824099e-06,6.095174e-01,5.430683e-01,2.803481e-05,9.080691e-01,3.652424e-01,9.627099e-01,False,9.751157e-01,False
channel2,1.032905e-06,3.471418e-01,7.289526e-01,2.859587e-05,9.316079e-01,3.529787e-01,9.627099e-01,False,9.751157e-01,False
channel3,3.370567e-07,1.201702e-01,9.045029e-01,2.044828e-05,7.066985e-01,4.808081e-01,9.627099e-01,False,9.751157e-01,False
channel4,-1.280701e-07,-4.682845e-02,9.627099e-01,9.481049e-06,3.360485e-01,7.372859e-01,9.627099e-01,False,9.751157e-01,False
channel5,2.877265e-06,8.557689e-01,3.934381e-01,2.874661e-05,8.287942e-01,4.084872e-01,9.627099e-01,False,9.751157e-01,False
channel6,-1.124310e-06,-4.658395e-01,6.419801e-01,-8.014567e-06,-3.218947e-01,7.479634e-01,9.627099e-01,False,9.751157e-01,False
channel7,-1.149040e-06,-4.432489e-01,6.581998e-01,7.978512e-06,2.983443e-01,7.658374e-01,9.627099e-01,False,9.751157e-01,False
channel8,-2.728793e-07,-1.135885e-01,9.097101e-01,2.945402e-05,1.188480e+00,2.364506e-01,9.627099e-01,False,9.751157e-01,False
channel9,-5.370807e-07,-2.554238e-01,7.987322e-01,-3.178986e-06,-1.465527e-01,8.836743e-01,9.627099e-01,False,9.751157e-01,False
channel10,1.865853e-06,7.994185e-01,4.252633e-01,-9.154776e-07,-3.802139e-02,9.697192e-01,9.627099e-01,False,9.751157e-01,False
channel11,1.752601e-07,9.134852e-02,9.273329e-01,1.243616e-06,6.283307e-02,9.499799e-01,9.627099e-01,False,9.751157e-01,False
channel12,3.426743e-07,1.613248e-01,8.720463e-01,-2.148260e-05,-9.803698e-01,3.284216e-01,9.627099e-01,False,9.751157e-01,False
channel13,-2.755206e-06,-1.503465e+00,1.347409e-01,1.074684e-05,5.684647e-01,5.705369e-01,9.627099e-01,False,9.751157e-01,False
channel14,-1.849059e-06,-8.203281e-01,4.132808e-01,-7.264930e-07,-3.124293e-02,9.751157e-01,9.627099e-01,False,9.751157e-01,False
channel15,-1.557215e-06,-7.473513e-01,4.559765e-01,1.583331e-05,7.365993e-01,4.624723e-01,9.627099e-01,False,9.751157e-01,False
channel16,-6.657898e-07,-3.035490e-01,7.618760e-01,8.647162e-06,3.821630e-01,7.028606e-01,9.627099e-01,False,9.751157e-01,False
