channel,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,-1.542511e-06,-9.252825e-01,3.563564e-01,3.517269e-06,1.888610e-01,8.504659e-01,9.040101e-01,False,9.177670e-01,False
channel2,7.931226e-07,4.951135e-01,6.212695e-01,3.491213e-06,1.950884e-01,8.455968e-01,9.040101e-01,False,9.177670e-01,False
channel3,-1.414357e-07,-7.290510e-02,9.419821e-01,1.945274e-05,8.975741e-01,3.709006e-01,9.721695e-01,False,9.177670e-01,False
channel4,-1.617512e-06,-1.073643e+00,2.847662e-01,-3.903995e-06,-2.319595e-01,8.168965e-01,9.040101e-01,False,9.177670e-01,False
channel5,9.925412e-07,6.321365e-01,5.282931e-01,1.188646e-05,6.776498e-01,4.990736e-01,9.040101e-01,False,9.177670e-01,False
channel6,-2.938763e-07,-2.178867e-01,8.278238e-01,-2.847913e-06,-1.890094e-01,8.503497e-01,9.542110e-01,False,9.177670e-01,False
channel7,1.818812e-06,1.258187e+00,2.103465e-01,1.017898e-05,6.303072e-01,5.294857e-01,9.040101e-01,False,9.177670e-01,False
channel8,1.647116e-06,1.161300e+00,2.474280e-01,9.705884e-06,6.125563e-01,5.411293e-01,9.040101e-01,False,9.177670e-01,False
channel9,1.154141e-06,7.108479e-01,4.783204e-01,-1.875969e-06,-1.034270e-01,9.177670e-01,9.040101e-01,False,9.177670e-01,False
channel10,3.130598e-07,2.087522e-01,8.349346e-01,1.219555e-05,7.279403e-01,4.678240e-01,9.542110e-01,False,9.177670e-01,False
channel11,1.063195e-06,7.618269e-01,4.474007e-01,2.853739e-06,1.830410e-01,8.550215e-01,9.040101e-01,False,9.177670e-01,False
channel12,-4.078363e-07,-2.466403e-01,8.055355e-01,-7.709802e-06,-4.173611e-01,6.770316e-01,9.542110e-01,False,9.177670e-01,False
channel13,-1.701153e-06,-1.122338e+00,2.635736e-01,-2.759195e-06,-1.629496e-01,8.707850e-01,9.040101e-01,False,9.177670e-01,False
channel14,-1.813492e-06,-1.304800e+00,1.940279e-01,-5.472821e-06,-3.524765e-01,7.249927e-01,9.040101e-01,False,9.177670e-01,False
channel15,4.886857e-08,3.494772e-02,9.721695e-01,2.343376e-06,1.500106e-01,8.809647e-01,9.721695e-01,False,9.177670e-01,False
channel16,-6.868676e-07,-4.947762e-01,6.215070e-01,3.732047e-06,2.406431e-01,8.101716e-01,9.040101e-01,False,9.177670e-01,False
