channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
channel1,66,85,-4.515152e-06,5.408888e-05,1.729412e-06,4.678201e-05,2.578500e+03,3.964599e-01,8.074866e-02,-1.246400e-01,-5.185242e-06,9.094822e-06,-5.701312e-01,5.694590e-01,1.608388e-02,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,1.000000e+00,False,1.000000e+00,False
channel2,66,85,-1.604545e-05,5.801656e-05,-6.858824e-06,4.535131e-05,2.689500e+03,6.659345e-01,4.117647e-02,-1.792071e-01,-9.054292e-06,9.360031e-06,-9.673357e-01,3.349651e-01,8.651702e-03,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.688000e-01,False,1.000000e+00,False
channel3,66,85,-4.318182e-06,6.482643e-05,3.647059e-06,4.360420e-05,2.602500e+03,4.484674e-01,7.219251e-02,-1.477789e-01,-6.761720e-06,9.839894e-06,-6.871741e-01,4.930557e-01,6.455812e-03,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.992000e-01,False,1.000000e+00,False
channel4,66,85,-1.092424e-05,5.778190e-05,-1.882353e-06,4.152062e-05,2.656000e+03,5.772962e-01,5.311943e-02,-1.834844e-01,-8.323439e-06,8.984234e-06,-9.264496e-01,3.557309e-01,1.201734e-02,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.776000e-01,False,1.000000e+00,False
channel5,66,85,-1.030303e-06,4.692809e-05,3.552941e-06,4.320590e-05,2.731000e+03,7.825954e-01,2.638146e-02,-1.021503e-01,-1.976415e-06,8.179418e-06,-2.416327e-01,8.094015e-01,6.455643e-03,8.633616e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,1.000000e+00,False,1.000000e+00,False
channel6,66,85,-7.272727e-07,4.091738e-05,-6.470588e-07,3.795445e-05,2.924500e+03,6.549463e-01,-4.260250e-02,-2.042391e-03,3.485869e-06,7.139967e-06,4.882192e-01,6.261220e-01,9.377164e-03,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,1.000000e+00,False,1.000000e+00,False
channel7,66,85,-3.939394e-07,5.361655e-05,5.352941e-06,4.490909e-05,2.643500e+03,5.455531e-01,5.757576e-02,-1.175263e-01,-4.649975e-06,8.925409e-06,-5.209818e-01,6.031634e-01,4.808936e-03,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,1.000000e+00,False,1.000000e+00,False
channel8,66,85,-2.969697e-06,4.378021e-05,4.882353e-06,3.875976e-05,2.613000e+03,4.719796e-01,6.844920e-02,-1.913943e-01,-8.399191e-06,7.492312e-06,-1.121041e+00,2.640983e-01,9.367089e-03,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.156000e-01,False,1.000000e+00,False
channel9,66,85,-1.045455e-06,5.131994e-05,4.352941e-07,4.487110e-05,2.803500e+03,9.970049e-01,5.347594e-04,-3.098353e-02,-3.662762e-07,8.720839e-06,-4.200011e-02,9.665556e-01,2.186135e-03,9.665556e-01,False,9.665556e-01,False,9.665556e-01,False,9.970049e-01,False,9.970049e-01,False,9.970049e-01,False,1.000000e+00,False,1.000000e+00,False
channel10,66,85,-8.530303e-06,5.841792e-05,7.176471e-07,3.898981e-05,2.569500e+03,3.776359e-01,8.395722e-02,-1.909426e-01,-1.398804e-05,8.798278e-06,-1.589861e+00,1.140145e-01,1.979354e-02,7.706117e-01,False,9.665556e-01,False,9.121159e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,5.968000e-01,False,1.000000e+00,False
channel11,66,85,-5.318182e-06,4.850604e-05,-1.882353e-07,3.707826e-05,2.669500e+03,6.124062e-01,4.830660e-02,-1.208650e-01,-6.653478e-06,7.745672e-06,-8.589931e-01,3.917429e-01,5.390334e-03,7.706117e-01,False,9.665556e-01,False,9.665556e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.888000e-01,False,1.000000e+00,False
