channel,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
channel1,-4.757455e-06,-1.977830e+00,4.984349e-02,-7.778502e-06,-2.894681e-01,7.726367e-01,7.974959e-01,False,9.385729e-01,False
channel2,-1.631243e-06,-6.521462e-01,5.153393e-01,1.653447e-05,5.917076e-01,5.549678e-01,8.821512e-01,False,9.385729e-01,False
channel3,-2.379414e-06,-9.055133e-01,3.666957e-01,1.196816e-05,4.077020e-01,6.840938e-01,8.821512e-01,False,9.385729e-01,False
channel4,-2.309869e-06,-9.623891e-01,3.374564e-01,2.069898e-06,7.719745e-02,9.385729e-01,8.821512e-01,False,9.385729e-01,False
channel5,-9.401751e-07,-4.297768e-01,6.679960e-01,1.515190e-05,6.200002e-01,5.362308e-01,8.821512e-01,False,9.385729e-01,False
channel6,-1.153853e-06,-6.037387e-01,5.469607e-01,-4.484104e-06,-2.100220e-01,8.339453e-01,8.821512e-01,False,9.385729e-01,False
channel7,-7.274958e-07,-3.042976e-01,7.613375e-01,7.349126e-06,2.751657e-01,7.835806e-01,8.821512e-01,False,9.385729e-01,False
channel8,-3.658628e-08,-1.840892e-02,9.853379e-01,3.848747e-05,1.733484e+00,8.513533e-02,9.853379e-01,False,9.385729e-01,False
channel9,8.863046e-07,3.797536e-01,7.046840e-01,-1.315707e-05,-5.046248e-01,6.145884e-01,8.821512e-01,False,9.385729e-01,False
channel10,6.734233e-07,2.866148e-01,7.748164e-01,2.667647e-05,1.016318e+00,3.111710e-01,8.821512e-01,False,9.385729e-01,False
channel11,6.058835e-07,2.919810e-01,7.707185e-01,6.047831e-06,2.608890e-01,7.945483e-01,8.821512e-01,False,9.385729e-01,False
channel12,8.849488e-07,3.316243e-01,7.406518e-01,-3.093728e-06,-1.037770e-01,9.174897e-01,8.821512e-01,False,9.385729e-01,False
channel13,-2.789597e-06,-1.302180e+00,1.949196e-01,1.791904e-05,7.487467e-01,4.552227e-01,8.821512e-01,False,9.385729e-01,False
channel14,-5.340837e-07,-2.242664e-01,8.228657e-01,-2.103799e-06,-7.907692e-02,9.370805e-01,8.821512e-01,False,9.385729e-01,False
channel15,-1.622889e-06,-6.803370e-01,4.973760e-01,6.188798e-06,2.322374e-01,8.166811e-01,8.821512e-01,False,9.385729e-01,False
channel16,-5.640566e-07,-2.189244e-01,8.270168e-01,7.507460e-06,2.608286e-01,7.945948e-01,8.821512e-01,False,9.385729e-01,False
